request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_36,861.13,affordable_later,wait,2026-09-15:3954,2026-09-15,none,"Pay USD 3,954 in full on 2026-09-15. Paying earlier would take the balance below the USD 2,400 minimum."
request_37,6027820.61,affordable_later,wait,2024-03-15:14649000,2024-03-15,none,"Pay IDR 14,649,000 in full on 2024-03-15. Paying earlier would take the balance below the IDR 17,056,200 minimum."
request_38,225.42,affordable_later,wait,2025-09-15:971.3,2025-09-15,none,Pay EUR 971.3 in full on 2025-09-15. Paying earlier would take the balance below the EUR 400 minimum.
request_39,83322.92,affordable_later,wait,2026-05-15:208600,2026-05-15,none,"Pay INR 208,600 in full on 2026-05-15. Paying earlier would take the balance below the INR 213,400 minimum."
request_40,470.4,affordable_later,wait,2024-07-15:1290.3,2024-07-15,none,"Pay EUR 1,290.3 in full on 2024-07-15. Paying earlier would take the balance below the EUR 1,500 minimum."
request_41,14931499.5,affordable_later,wait,2026-01-15:38760000,2026-01-15,none,"Pay IDR 38,760,000 in full on 2026-01-15. Paying earlier would take the balance below the IDR 25,366,600 minimum."
request_42,52100.0,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,"Pay INR 52,100 today. This preserves the required minimum balance of INR 113,100 throughout the 90-day forecast."
request_43,9169734.8,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 43,339,000 request today. Although IDR 9,169,734.8 is available today, the full amount cannot be completed safely by 2024-11-15 while keeping the IDR 21,398,000 minimum protected."
request_44,36994.82,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 95,800 request today. Although INR 36,994.82 is available today, the full amount cannot be completed safely by 2025-04-15 while keeping the INR 82,900 minimum protected."
request_45,4793839.88,affordable_later,wait,2026-08-15:21983000,2026-08-15,none,"Pay IDR 21,983,000 in full on 2026-08-15. Paying earlier would take the balance below the IDR 11,149,800 minimum."
request_46,49450.0,affordable_with_plan,installments,2024-12-03:25714|2024-12-31:25714,2024-12-03,none,"Use 2 installments of INR 25,714, starting 2024-12-03. This satisfies the request by 2025-01-09 while preserving the INR 84,000 minimum balance."
request_47,38113999.96,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,none,"Pay IDR 38,114,000 today. This preserves the required minimum balance of IDR 30,049,000 throughout the 90-day forecast."
request_48,45700.0,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,"Pay INR 45,700 today. This preserves the required minimum balance of INR 71,300 throughout the 90-day forecast."
request_49,15127279.59,affordable_later,not_recommended,none,2024-05-15,none,"Do not proceed with the IDR 34,333,000 request today. Although IDR 15,127,279.59 is available today, the full amount cannot be completed safely by 2024-05-22 while keeping the IDR 20,275,700 minimum protected."
request_50,43900.0,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,"Pay INR 43,900 today. This preserves the required minimum balance of INR 99,700 throughout the 90-day forecast."
request_51,2191000.0,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,"Pay IDR 2,191,000 today. This preserves the required minimum balance of IDR 7,811,000 throughout the 90-day forecast."
request_52,20547.52,affordable_later,wait,2024-06-15:28870,2024-06-15,none,"Pay INR 28,870 in full on 2024-06-15. Paying earlier would take the balance below the INR 41,500 minimum."
request_53,658.57,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2025-12-15,none,"Use 3 installments of USD 589.06, starting 2025-11-21. This satisfies the request by 2026-01-20 while preserving the USD 2,100 minimum balance."
request_54,5298.26,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 121,528 request today. Although ZAR 5,298.26 is available today, the full amount cannot be completed safely by 2026-08-21 while keeping the ZAR 37,000 minimum protected."
request_55,135815.41,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-07-15,none,"Use 3 installments of INR 75,781.33, starting 2026-06-11. This satisfies the request by 2026-08-22 while preserving the INR 124,300 minimum balance."
request_56,787.86,affordable_with_plan,partial_payment,2025-02-03:787.86|2025-02-15:93.7,2025-02-15,none,"Pay USD 787.86 today and the remaining USD 93.7 on 2025-02-15. This completes the full request by 2025-03-13 while protecting the USD 2,100 minimum balance."
request_57,15112.62,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 61,446 request today. Although ZAR 15,112.62 is available today, the full amount cannot be completed safely by 2026-06-15 while keeping the ZAR 42,700 minimum protected."
request_58,9890881.45,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 16,226,000 request today. Although IDR 9,890,881.45 is available today, the full amount cannot be completed safely by 2025-01-25 while keeping the IDR 14,433,900 minimum protected."
request_59,140600.0,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,"Use 3 installments of INR 48,741.33, starting 2025-05-07. This satisfies the request by 2025-07-02 while preserving the INR 132,600 minimum balance."
request_60,199.89,affordable_now,full_payment,2026-01-06:199.89,2026-01-06,none,Pay USD 199.89 today. This preserves the required minimum balance of USD 400 throughout the 90-day forecast.
request_61,26205.41,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 29,062 request today. Although ZAR 26,205.41 is available today, the full amount cannot be completed safely by 2024-05-24 while keeping the ZAR 36,700 minimum protected."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,"Pay USD 404.23 today. This preserves the required minimum balance of USD 1,300 throughout the 90-day forecast."
request_63,59153.23,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 343,900 request today. Although INR 59,153.23 is available today, the full amount cannot be completed safely by 2026-09-17 while keeping the INR 153,500 minimum protected."
request_64,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-08-16. None of the available options keeps the INR 36,100 minimum balance protected."
request_65,7906.39,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 54,340 request today. Although ZAR 7,906.39 is available today, the full amount cannot be completed safely by 2025-11-25 while keeping the ZAR 15,500 minimum protected."
request_66,22200.0,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,"Pay INR 22,200 today. This preserves the required minimum balance of INR 80,700 throughout the 90-day forecast."
request_67,574.62,affordable_later,wait,2024-11-15:2094,2024-11-15,none,"Pay USD 2,094 in full on 2024-11-15. Paying earlier would take the balance below the USD 1,200 minimum."
request_68,1613.86,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-02-23,none,"Use 3 installments of USD 725.09, starting 2025-02-14. This satisfies the request by 2025-04-16 while preserving the USD 1,500 minimum balance."
request_69,529.1,affordable_now,full_payment,2026-01-04:529.1,2026-01-04,none,Pay EUR 529.1 today. This preserves the required minimum balance of EUR 700 throughout the 90-day forecast.
request_70,57034.41,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 243,900 request today. Although INR 57,034.41 is available today, the full amount cannot be completed safely by 2025-02-15 while keeping the INR 115,000 minimum protected."
request_71,1767534.07,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 21,451,000 request today. Although IDR 1,767,534.07 is available today, the full amount cannot be completed safely by 2025-05-28 while keeping the IDR 8,884,800 minimum protected."
request_72,11330.0,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,"Pay ZAR 11,330 today. This preserves the required minimum balance of ZAR 12,200 throughout the 90-day forecast."
request_73,71400.0,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,"Pay INR 71,400 today. This preserves the required minimum balance of INR 103,200 throughout the 90-day forecast."
request_74,5010.0,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,"Pay ZAR 5,010 today. This preserves the required minimum balance of ZAR 21,900 throughout the 90-day forecast."
request_75,28270.0,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,"Use 3 installments of ZAR 9,800.27, starting 2026-04-09. This satisfies the request by 2026-06-12 while preserving the ZAR 39,000 minimum balance."
request_76,1122.37,affordable_later,not_recommended,none,2024-06-24,none,"Do not proceed with the USD 4,455.6 request today. Although USD 1,122.37 is available today, the full amount cannot be completed safely by 2024-07-30 while keeping the USD 1,800 minimum protected."
request_77,60700.0,affordable_now,full_payment,2025-11-05:60700,2025-11-05,none,"Pay INR 60,700 today. This preserves the required minimum balance of INR 82,200 throughout the 90-day forecast."
request_78,50200.0,affordable_now,full_payment,2025-10-02:50200,2025-10-02,none,"Pay INR 50,200 today. This preserves the required minimum balance of INR 55,200 throughout the 90-day forecast."
request_79,468.55,affordable_later,not_recommended,none,2024-11-15,none,"Do not proceed with the EUR 2,151.6 request today. Although EUR 468.55 is available today, the full amount cannot be completed safely by 2024-11-01 while keeping the EUR 1,000 minimum protected."
request_80,117326.07,affordable_later,not_recommended,none,2025-02-15,none,"Do not proceed with the INR 217,500 request today. Although INR 117,326.07 is available today, the full amount cannot be completed safely by 2025-02-21 while keeping the INR 121,300 minimum protected."
request_81,2076.0,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,"Pay USD 2,076 today. This preserves the required minimum balance of USD 1,600 throughout the 90-day forecast."
request_82,537.6,affordable_later,wait,2024-12-15:1405.2,2024-12-15,none,"Pay USD 1,405.2 in full on 2024-12-15. Paying earlier would take the balance below the USD 1,100 minimum."
request_83,14421.73,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 156,200 request today. Although INR 14,421.73 is available today, the full amount cannot be completed safely by 2025-06-17 while keeping the INR 37,800 minimum protected."
request_84,40254.01,affordable_later,wait,2026-05-15:95400,2026-05-15,none,"Pay INR 95,400 in full on 2026-05-15. Paying earlier would take the balance below the INR 91,300 minimum."
request_85,1175110.62,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 19,304,000 request today. Although IDR 1,175,110.62 is available today, the full amount cannot be completed safely by 2024-04-26 while keeping the IDR 6,396,300 minimum protected."
request_86,46300.0,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,"Pay INR 46,300 today. This preserves the required minimum balance of INR 84,900 throughout the 90-day forecast."
request_87,50993.77,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 487,900 request today. Although INR 50,993.77 is available today, the full amount cannot be completed safely by 2026-03-15 while keeping the INR 185,900 minimum protected."
request_88,10957.52,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-06-15,none,"Use 3 installments of ZAR 9,045.23, starting 2024-06-14. This satisfies the request by 2024-08-25 while preserving the ZAR 25,800 minimum balance."
request_89,10677342.03,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2025-12-15,none,"Use 3 installments of IDR 4,768,746.67, starting 2025-11-18. This satisfies the request by 2026-01-15 while preserving the IDR 12,534,700 minimum balance."
request_90,2560.0,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,"Pay ZAR 2,560 today. This preserves the required minimum balance of ZAR 7,600 throughout the 90-day forecast."
request_91,894.4,affordable_later,wait,2024-10-15:1927.2,2024-10-15,none,"Pay EUR 1,927.2 in full on 2024-10-15. Paying earlier would take the balance below the EUR 2,100 minimum."
request_92,34034.0,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,"Pay ZAR 34,034 today. This preserves the required minimum balance of ZAR 28,100 throughout the 90-day forecast."
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.2,2026-04-07,none,"Pay USD 1,729.2 today. This preserves the required minimum balance of USD 1,900 throughout the 90-day forecast."
request_94,572.0,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,Pay EUR 572 today. This preserves the required minimum balance of EUR 600 throughout the 90-day forecast.
request_95,41301.31,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 553,000 request today. Although INR 41,301.31 is available today, the full amount cannot be completed safely by 2025-07-14 while keeping the INR 145,500 minimum protected."
request_96,81112.42,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-02-15,none,"Use 3 installments of INR 31,269.33, starting 2026-01-10. This satisfies the request by 2026-03-12 while preserving the INR 56,500 minimum balance."
request_97,2311.13,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 23,496 request today. Although ZAR 2,311.13 is available today, the full amount cannot be completed safely by 2024-05-24 while keeping the ZAR 29,700 minimum protected."
request_98,10224.68,affordable_later,wait,2025-09-15:27148,2025-09-15,none,"Pay ZAR 27,148 in full on 2025-09-15. Paying earlier would take the balance below the ZAR 30,000 minimum."
request_99,18062.0,affordable_now,full_payment,2026-07-04:18062,2026-07-04,none,"Pay ZAR 18,062 today. This preserves the required minimum balance of ZAR 49,100 throughout the 90-day forecast."
request_100,29748.91,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-06-15,none,"Use 3 installments of ZAR 12,866.19, starting 2024-06-13. This satisfies the request by 2024-08-16 while preserving the ZAR 32,500 minimum balance."
request_101,143500.0,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,"Pay INR 143,500 today. This preserves the required minimum balance of INR 187,400 throughout the 90-day forecast."
request_102,1716.0,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"Use 3 installments of EUR 594.88, starting 2026-04-05. This satisfies the request by 2026-06-12 while preserving the EUR 900 minimum balance."
request_103,18937.48,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 368,300 request today. Although INR 18,937.48 is available today, the full amount cannot be completed safely by 2024-10-07 while keeping the INR 125,500 minimum protected."
request_104,17204.0,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,"Pay ZAR 17,204 today. This preserves the required minimum balance of ZAR 24,700 throughout the 90-day forecast."
request_105,53500.0,affordable_now,full_payment,2026-06-08:53500,2026-06-08,none,"Pay INR 53,500 today. This preserves the required minimum balance of INR 73,900 throughout the 90-day forecast."
request_106,501.64,affordable_later,wait,2025-01-15:2207.7,2025-01-15,none,"Pay EUR 2,207.7 in full on 2025-01-15. Paying earlier would take the balance below the EUR 1,200 minimum."
request_107,289.02,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 2,534.4 request today. Although EUR 289.02 is available today, the full amount cannot be completed safely by 2025-07-04 while keeping the EUR 1,600 minimum protected."
request_108,4314.24,affordable_later,not_recommended,none,2026-08-15,none,"Do not proceed with the ZAR 55,308 request today. Although ZAR 4,314.24 is available today, the full amount cannot be completed safely by 2026-07-26 while keeping the ZAR 24,100 minimum protected."
request_109,927.69,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-05-15,none,"Use 3 installments of EUR 645.98, starting 2024-03-18. This satisfies the request by 2024-05-26 while preserving the EUR 1,700 minimum balance."
request_110,22352.0,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"Use 3 installments of ZAR 7,748.69, starting 2025-08-06. This satisfies the request by 2025-10-11 while preserving the ZAR 11,200 minimum balance."
request_111,16624999.98,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,"Pay IDR 16,625,000 today. This preserves the required minimum balance of IDR 23,022,800 throughout the 90-day forecast."
request_112,271.7,affordable_now,full_payment,2024-06-05:271.7,2024-06-05,none,Pay EUR 271.7 today. This preserves the required minimum balance of EUR 500 throughout the 90-day forecast.
request_113,36500.0,affordable_now,full_payment,2026-09-04:36500,2026-09-04,none,"Pay INR 36,500 today. This preserves the required minimum balance of INR 82,300 throughout the 90-day forecast."
request_114,65300.0,affordable_now,full_payment,2026-01-04:65300,2026-01-04,none,"Pay INR 65,300 today. This preserves the required minimum balance of INR 113,400 throughout the 90-day forecast."
request_115,15023.67,affordable_later,wait,2024-11-15:80500,2024-11-15,none,"Pay INR 80,500 in full on 2024-11-15. Paying earlier would take the balance below the INR 38,800 minimum."
request_116,13344.37,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 241,200 request today. Although INR 13,344.37 is available today, the full amount cannot be completed safely by 2025-04-16 while keeping the INR 80,300 minimum protected."
request_117,880.0,affordable_now,full_payment,2026-07-05:880,2026-07-05,none,"Pay EUR 880 today. This preserves the required minimum balance of EUR 1,000 throughout the 90-day forecast."
request_118,736.62,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2024-12-15,none,"Use 3 installments of EUR 255.87, starting 2024-12-07. This satisfies the request by 2025-02-08 while preserving the EUR 600 minimum balance."
request_119,66183.03,affordable_with_plan,installments,2025-05-18:70546.67|2025-06-15:70546.67|2025-07-13:70546.67,2025-06-15,none,"Use 3 installments of INR 70,546.67, starting 2025-05-18. This satisfies the request by 2025-07-17 while preserving the INR 151,200 minimum balance."
request_120,7713999.99,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,"Pay IDR 7,714,000 today. This preserves the required minimum balance of IDR 20,050,300 throughout the 90-day forecast."
request_121,633.6,affordable_now,full_payment,2024-03-03:633.6,2024-03-03,none,Pay USD 633.6 today. This preserves the required minimum balance of USD 800 throughout the 90-day forecast.
request_122,20557999.98,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Use 3 installments of IDR 7,126,773.33, starting 2025-08-05. This satisfies the request by 2025-10-02 while preserving the IDR 12,588,500 minimum balance."
request_123,4076000.0,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,"Pay IDR 4,076,000 today. This preserves the required minimum balance of IDR 18,091,200 throughout the 90-day forecast."
request_124,1422.68,affordable_later,not_recommended,none,2024-08-15,none,"Do not proceed with the EUR 3,104.2 request today. Although EUR 1,422.68 is available today, the full amount cannot be completed safely by 2024-08-20 while keeping the EUR 1,600 minimum protected."
request_125,6468.0,affordable_now,full_payment,2025-11-06:6468,2025-11-06,none,"Pay ZAR 6,468 today. This preserves the required minimum balance of ZAR 11,300 throughout the 90-day forecast."
request_126,159600.0,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,"Pay INR 159,600 today. This preserves the required minimum balance of INR 129,700 throughout the 90-day forecast."
request_127,15774.98,affordable_later,wait,2024-10-15:23980,2024-10-15,none,"Pay ZAR 23,980 in full on 2024-10-15. Paying earlier would take the balance below the ZAR 41,000 minimum."
request_128,25168.0,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,"Pay ZAR 25,168 today. This preserves the required minimum balance of ZAR 42,600 throughout the 90-day forecast."
request_129,172.66,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 2,668.8 request today. Although USD 172.66 is available today, the full amount cannot be completed safely by 2026-06-18 while keeping the USD 800 minimum protected."
request_130,593.21,affordable_later,wait,2025-02-15:1978.8,2025-02-15,none,"Pay USD 1,978.8 in full on 2025-02-15. Paying earlier would take the balance below the USD 1,400 minimum."
request_131,1350.31,affordable_with_plan,installments,2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14,2025-05-23,none,"Use 3 installments of USD 643.14, starting 2025-05-06. This satisfies the request by 2025-07-08 while preserving the USD 1,100 minimum balance."
request_132,379.86,affordable_now,full_payment,2026-01-05:379.86,2026-01-05,none,"Pay USD 379.86 today. This preserves the required minimum balance of USD 1,100 throughout the 90-day forecast."
request_133,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-03-29. None of the available options keeps the IDR 9,986,200 minimum balance protected."
request_134,6385772.8,affordable_later,wait,2025-10-15:21831000,2025-10-15,none,"Pay IDR 21,831,000 in full on 2025-10-15. Paying earlier would take the balance below the IDR 15,902,500 minimum."
request_135,304.8,affordable_now,full_payment,2026-07-06:304.8,2026-07-06,none,Pay USD 304.8 today. This preserves the required minimum balance of USD 500 throughout the 90-day forecast.
request_136,560.4,affordable_now,full_payment,2024-06-03:560.4,2024-06-03,none,"Pay USD 560.4 today. This preserves the required minimum balance of USD 1,100 throughout the 90-day forecast."
request_137,36010.63,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 80,100 request today. Although INR 36,010.63 is available today, the full amount cannot be completed safely by 2026-01-15 while keeping the INR 71,800 minimum protected."
request_138,896.71,affordable_with_plan,partial_payment,2026-04-07:896.71|2026-04-15:360.23,2026-04-15,none,"Pay EUR 896.71 today and the remaining EUR 360.23 on 2026-04-15. This completes the full request by 2026-06-05 while protecting the EUR 2,300 minimum balance."
request_139,1594.02,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-09-15,none,"Use 3 installments of USD 802.88, starting 2024-09-07. This satisfies the request by 2024-11-17 while preserving the USD 1,500 minimum balance."
request_140,3239.64,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 62,832 request today. Although ZAR 3,239.64 is available today, the full amount cannot be completed safely by 2025-03-04 while keeping the ZAR 21,600 minimum protected."
request_141,37757.8,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 171,600 request today. Although INR 37,757.8 is available today, the full amount cannot be completed safely by 2026-02-12 while keeping the INR 67,300 minimum protected."
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.6,2024-12-05,none,"Pay USD 1,263.6 today. This preserves the required minimum balance of USD 1,700 throughout the 90-day forecast."
request_143,4169.49,affordable_later,wait,2025-07-15:12584,2025-07-15,none,"Pay ZAR 12,584 in full on 2025-07-15. Paying earlier would take the balance below the ZAR 11,300 minimum."
request_144,233.34,affordable_now,full_payment,2026-07-04:233.34,2026-07-04,none,Pay USD 233.34 today. This preserves the required minimum balance of USD 600 throughout the 90-day forecast.
request_145,48437.69,affordable_with_plan,installments,2024-03-20:75365.33|2024-04-20:75365.33|2024-05-21:75365.33,2024-03-15,none,"Use 3 installments of INR 75,365.33, starting 2024-03-20. This satisfies the request by 2024-05-26 while preserving the INR 155,400 minimum balance."
request_146,24157.74,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 449,400 request today. Although INR 24,157.74 is available today, the full amount cannot be completed safely by 2025-10-17 while keeping the INR 108,600 minimum protected."
request_147,584.91,affordable_with_plan,installments,2026-04-08:391.63|2026-05-08:391.63|2026-06-07:391.63,2026-05-15,none,"Use 3 installments of EUR 391.63, starting 2026-04-08. This satisfies the request by 2026-06-07 while preserving the EUR 900 minimum balance."
request_148,10706.13,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-06-15,none,"Use 3 installments of ZAR 7,710.56, starting 2024-06-14. This satisfies the request by 2024-08-18 while preserving the ZAR 20,000 minimum balance."
request_149,26682.52,affordable_later,not_recommended,none,2026-01-15,none,"Do not proceed with the ZAR 36,652 request today. Although ZAR 26,682.52 is available today, the full amount cannot be completed safely by 2026-01-19 while keeping the ZAR 42,100 minimum protected."
request_150,407.52,affordable_with_plan,installments,2026-01-06:171.98|2026-02-05:171.98|2026-03-07:171.98,2026-01-15,none,"Use 3 installments of EUR 171.98, starting 2026-01-06. This satisfies the request by 2026-03-16 while preserving the EUR 700 minimum balance."
request_151,26998999.97,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,"Pay IDR 26,999,000 today. This preserves the required minimum balance of IDR 31,633,600 throughout the 90-day forecast."
request_152,11451.58,affordable_later,not_recommended,none,2025-04-15,none,"Do not proceed with the ZAR 13,882 request today. Although ZAR 11,451.58 is available today, the full amount cannot be completed safely by 2025-04-13 while keeping the ZAR 11,900 minimum protected."
request_153,362.61,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 2,830.8 request today. Although USD 362.61 is available today, the full amount cannot be completed safely by 2026-09-24 while keeping the USD 1,400 minimum protected."
request_154,1625.8,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,"Use 3 installments of EUR 563.61, starting 2024-12-04. This satisfies the request by 2025-02-14 while preserving the EUR 1,300 minimum balance."
request_155,112500.0,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,"Pay INR 112,500 today. This preserves the required minimum balance of INR 56,300 throughout the 90-day forecast."
request_156,9855.69,affordable_later,wait,2026-06-15:43076,2026-06-15,none,"Pay ZAR 43,076 in full on 2026-06-15. Paying earlier would take the balance below the ZAR 26,900 minimum."
request_157,5902587.38,affordable_later,wait,2024-05-15:23503000,2024-05-15,none,"Pay IDR 23,503,000 in full on 2024-05-15. Paying earlier would take the balance below the IDR 15,714,100 minimum."
request_158,242600.0,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,"Use 3 installments of INR 84,101.33, starting 2025-08-07. This satisfies the request by 2025-10-02 while preserving the INR 131,400 minimum balance."
request_159,13398.0,affordable_now,full_payment,2026-01-04:13398,2026-01-04,none,"Pay ZAR 13,398 today. This preserves the required minimum balance of ZAR 8,700 throughout the 90-day forecast."
request_160,600.85,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-07-15,none,"Use 3 installments of EUR 432.05, starting 2024-06-13. This satisfies the request by 2024-08-20 while preserving the EUR 1,200 minimum balance."
request_161,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-01-15. None of the available options keeps the IDR 23,010,400 minimum balance protected."
request_162,3998179.77,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 83,923,000 request today. Although IDR 3,998,179.77 is available today, the full amount cannot be completed safely by 2026-08-26 while keeping the IDR 24,161,100 minimum protected."
request_163,13243571.58,affordable_with_plan,installments,2024-09-10:6692053.33|2024-10-11:6692053.33|2024-11-11:6692053.33,2024-09-15,none,"Use 3 installments of IDR 6,692,053.33, starting 2024-09-10. This satisfies the request by 2024-11-15 while preserving the IDR 26,728,700 minimum balance."
request_164,27017999.97,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,"Use 3 installments of IDR 9,366,240, starting 2025-02-11. This satisfies the request by 2025-04-15 while preserving the IDR 29,550,500 minimum balance."
